Shell Sort, 8000, 112886, 0.004000
Shell Sort, 10000, 153340, 0.007000
Shell Sort, 12000, 184264, 0.010000
Shell Sort, 14000, 211020, 0.059000
Shell Sort, 16000, 304294, 0.009000
Shell Sort, 18000, 323843, 0.017000
Shell Sort, 20000, 348655, 0.012000
Shell Sort, 22000, 391443, 0.070000
Shell Sort, 24000, 459490, 0.044000
Shell Sort, 26000, 499287, 0.038000
Shell Sort, 28000, 516222, 0.036000
Shell Sort, 30000, 538825, 0.037000
Shell Sort, 32000, 746097, 0.043000
Shell Sort, 34000, 667817, 0.032000
Shell Sort, 36000, 687990, 0.023000
Shell Sort, 38000, 738622, 0.028000
Shell Sort, 40000, 850203, 0.036000
Shell Sort, 42000, 1005975, 0.029000
Shell Sort, 44000, 894078, 0.031000
Shell Sort, 46000, 947214, 0.028000
Shell Sort, 48000, 1092827, 0.029000
Shell Sort, 50000, 1152491, 0.042000
IQuick Sort, 2000, 28716, 0.001000
IQuick Sort, 4000, 60586, 0.002000
IQuick Sort, 6000, 90595, 0.001000
IQuick Sort, 8000, 132311, 0.004000
IQuick Sort, 10000, 165393, 0.005000
IQuick Sort, 12000, 202570, 0.008000
IQuick Sort, 14000, 257433, 0.011000
IQuick Sort, 16000, 291174, 0.007000
IQuick Sort, 18000, 323189, 0.011000
IQuick Sort, 20000, 357186, 0.012000
IQuick Sort, 22000, 406377, 0.024000
IQuick Sort, 24000, 444807, 0.046000
IQuick Sort, 26000, 481898, 0.040000
IQuick Sort, 28000, 565863, 0.017000
IQuick Sort, 30000, 564260, 0.027000
IQuick Sort, 32000, 610801, 0.028000
IQuick Sort, 34000, 671399, 0.022000
IQuick Sort, 36000, 760489, 0.023000
IQuick Sort, 38000, 721990, 0.021000
IQuick Sort, 40000, 798131, 0.027000
IQuick Sort, 42000, 800612, 0.048000
IQuick Sort, 44000, 889301, 0.023000
IQuick Sort, 46000, 956264, 0.023000
IQuick Sort, 48000, 1012804, 0.024000
IQuick Sort, 50000, 1035905, 0.031000
